id,identificador,nro_encuesta,zona,asentamiento,ciudad,tipo_formacion,tipo_formacion_otro,origen,origen_otro,poblador_mas_antiguo,poblador_mas_nuevo,superficie,numero_lotes,medida_lotes,numero_aprox_viviendas,numero_aprox_viviendas_precarias,numero_aprox_viviendas_precarias_otro,multiples_familias,tipo_propiedad,tipo_propiedad_fiscal,esta_loteada,plano_aprobado_muni,plano_aprobado_sas,conocimiento_adjudicacion,encargado_asignacion_lotes,encargado_asignacion_lotes_otros,ultima_salida_familia,desalojos,titulo_lotes,proceso_de_transferencia_titulos,razon_proceso_legalizacion,razon_proceso_legalizacion_otro,apoyo_organizacion,institucion_encargada_legalizacion,instucion_encargada_legalizacion_otro,legalizacion_etapa,legalizacion_etapa_otro,lotes_vendidos,lotes_vendidos_responsables,lotes_vendidos_precio,lotes_vendidos_destino,lotes_vendidos_destino_otro,excretas,escretas_otros,agua_tipo_provision,agua_tipo_conexion_regular,agua_tipo_provision_otro,agua_cantidad_familias,energia_tipo_provision,energia_cantidad_medidor,agua,agua_tiempo_tramites,agua_ano_obtencion,energia,energia_tiempo_tramites,energia_ano_obtencion,eliminacion_basura_tipo,eliminacion_basura_tipo_otro,cocina_metodo,cocina_metodo_otro,vias_acceso_material,vias_acceso_material_otro,caminos_material,caminos_material_otro,caminos_estado,calles_delimitadas_nombradas,calles_delimitadas_nombradas_otro,alumbrado_publico,alumbrado_publico_otro,alumbrado_publico_extension,alumbrado_publico_extension_otro,ong_asistencia,ong_proyectos,ong_familias_beneficiadas,ong_inicio_trabajos,programas_viviendas,programas_viviendas_lista,programas_viviendas_tipo,comision_vecinal,cooperativa,comedores,junta_saneamiento,guarderias,otras_organizaciones_asentamiento,ninguna_organizacion,comision_vecinal_participantes,organizacion_social_otro,comision_vecinal_eleccion_mecanismo,ribera_rio,arroyo,cerro,basurero,lineas_alta_tension,barrio_residencial,barranco,cantera,humedales,fabricas,ruta,lugares_cercanos_otro,distanica_comisaria,distancia_fiscalia_barrial,distancia_puesto_salud,distancia_hospital_publico,distancia_escuela_publica,distancia_escuela_privada,distancia_colegio_nacional,distancia_universidad,distancia_instituto_tecnico,distancia_transporte_publico,distancia_supermercado,distancia_centro_comunitario,distancia_cancha_deportiva,distancia_iglesia,distancia_zona_verde,distancia_comite_politico,obs_generales_lugar,problema_violencia,problema_desempleo,problema_drogadiccion,problema_educacion,problema_agua_potable,problema_salud,problema_falta_energia,problema_eliminacion_basura,problema_camino,problema_union_vecinos,problema_otro,aspectos_positivos,observaciones_grales,datos_adjuntos,asentamiento_intervenido_techo,field_133,poligono,poligono_geojson
36,371,483,,villa martinessi,villa elisa,reubicacion,,ocupacion ilegal,,1990,entre 5 y 10 años,1400,7,200,17,15,,si,municipal,,no,si,no,ns/nr,un miembro del asentamiento,,no hubo abandono,no,si,,,es de la municipalidad,no,,,,son terrenos fiscales,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,irregular,15,si,,,si,,,servicio de recolección pagado,,gas,,,,,,bueno,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,vivienda,si,no,no,no,no,,no,16,,asamblea,no,si,no,no,no,si,no,no,no,no,no,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),,,,,,,,,,,,1 vivienda,ganas de superarse,,,no,,"POLYGON((-57.5917450641677 -25.3552737277824,-57.5912381492707 -25.3556799094686,-57.5913940296064 -25.3558382873502,-57.5919169732309 -25.3554638083705,-57.5917450641677 -25.3552737277824))","{""type"":""Polygon"",""coordinates"":[[[-57.5917450641677,-25.3552737277824],[-57.5912381492707,-25.3556799094686],[-57.5913940296064,-25.3558382873502],[-57.5919169732309,-25.3554638083705],[-57.5917450641677,-25.3552737277824]]]}"
37,370,98,2,villa maría victoria,villa elisa,desastre natural,,ocupacion de tierras cedidas por el estado,,1983,mas de 10 años,,,,72,5,,si,municipal,,si,si,no,no,comision vecinal,,no hubo abandono,no,si,,,en proceso,no,municipalidad,,iniciando,,si,los propios vecinos,ns/nr,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,ANDE,95,si,mas de un año,,si,entre 6 meses y un año,,servicio de recolección pagado,,leña y carbón,,,,,,regular,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,si,policlinico villa elisa - consultas,todas,2003,no,,"oficios, educación para mayores",si,no,no,si,no,,no,25,,"votos, asamblea con escribano cada 2 años (agosto)",no,si,no,no,no,si,si,no,no,no,no,,entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),,,1,,2,,,,,,3 Falta de unión entre vecinos,,unión de los vecinos para asuntos de solidaridad,,,no,,,
38,369,30,8,villa guarani,villa elisa,migracion por factores economicos,,ocupacion ilegal,,2002,,2880,17,240,17,5,,si,sas,,si,si,en proceso,no,sas,,mas de 2 años,no,si,,zona de alto riesgo,,no,,,en tramite con la sas,,si,los propios vecinos,más de 500.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,ANDE,100,si,entre 1 y 3 meses,,si,mas de un año,,tira y quema,,gas,,ripio,,tierra,,bueno,,,provistos por el estado,,únicamente en la calle principal,,no,,,,no,,necesita muro de contension para el arroyo colinante,si,no,no,no,no,,no,30,,"votos a viva voz, mayoria",si,no,no,no,no,si,si,no,no,si,no,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),no conocen ningun centro comunitario,,,,,,,,3,2,,1 / muro de contension,la union entre los vecinos y la persevarancia,,,no,,"POLYGON((-57.6100406660824 -25.3866123243532,-57.6098535186206 -25.3865946556897,-57.6096405818196 -25.3867030734759,-57.609761210663 -25.3867734370803,-57.6099982054546 -25.3867868261645,-57.6102437279529 -25.3867854181491,-57.6104770832371 -25.3867949738044,-57.6108216900855 -25.3867098133988,-57.6109787169511 -25.3866082370839,-57.6111702028752 -25.38639671066,-57.6113510756411 -25.3862508747646,-57.6115759081613 -25.3861209469436,-57.6117117040666 -25.3861083270277,-57.6117806876932 -25.3861073231185,-57.6118144183955 -25.3859761461835,-57.6116023338842 -25.3859727094851,-57.6114021734293 -25.3860311817801,-57.6112179277907 -25.3861379356404,-57.6110251257693 -25.38632148229,-57.6109140035964 -25.3864585001651,-57.6107169268744 -25.3865644857787,-57.6104199662361 -25.3866264450669,-57.6100406660824 -25.3866123243532))","{""type"":""Polygon"",""coordinates"":[[[-57.6100406660824,-25.3866123243532],[-57.6098535186206,-25.3865946556897],[-57.6096405818196,-25.3867030734759],[-57.609761210663,-25.3867734370803],[-57.6099982054546,-25.3867868261645],[-57.6102437279529,-25.3867854181491],[-57.6104770832371,-25.3867949738044],[-57.6108216900855,-25.3867098133988],[-57.6109787169511,-25.3866082370839],[-57.6111702028752,-25.38639671066],[-57.6113510756411,-25.3862508747646],[-57.6115759081613,-25.3861209469436],[-57.6117117040666,-25.3861083270277],[-57.6117806876932,-25.3861073231185],[-57.6118144183955,-25.3859761461835],[-57.6116023338842,-25.3859727094851],[-57.6114021734293,-25.3860311817801],[-57.6112179277907,-25.3861379356404],[-57.6110251257693,-25.38632148229],[-57.6109140035964,-25.3864585001651],[-57.6107169268744,-25.3865644857787],[-57.6104199662361,-25.3866264450669],[-57.6100406660824,-25.3866123243532]]]}"
39,368,25,6,villa feliz,villa elisa,reubicacion,,ocupacion de tierras cedidas por el estado,,2005,entre 5 y 10 años,4295,14,418,14,1,,si,sas,,si,si,si,si,sas,,no hubo abandono,no,si,,,en proceso,no,,,finalizando,,no,,,,,inodoro conectado a fosa septica,,,,municipalidad,100,irregular,27,si,entre 1 y 3 meses,,no,,,servicio de recolección pagado,,electricidad,,,,,,bueno,en algunas de las calles del barrio,,no,,,,si,sas,14,10,si,sas,,si,no,no,no,no,,no,12,,voto,no,si,no,no,no,si,si,no,no,no,si,zanja,entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),el agua necesitan todo el día porque solo tienen de noche,,,,,1,,,,,,2 alumbrado,ya estan mas unidos y estan por firmar el contrato,,,no,,"POLYGON((-57.5847276186885 -25.3600756085335,-57.585157523609 -25.3596745018742,-57.5846081215524 -25.3592416738039,-57.5841777398287 -25.3596140314613,-57.5847276186885 -25.3600756085335))","{""type"":""Polygon"",""coordinates"":[[[-57.5847276186885,-25.3600756085335],[-57.585157523609,-25.3596745018742],[-57.5846081215524,-25.3592416738039],[-57.5841777398287,-25.3596140314613],[-57.5847276186885,-25.3600756085335]]]}"
40,367,2,1,villa claudia i,villa elisa,migracion por factores economicos,,mediante una asociacion social,,2008,menos de 1 año,,,,18,16,,si,privada,,si,si,si,no,propietario o particular,,de 3 a 6 meses,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,en tramite con la sas,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,letrina sanitaria conectado a pozo negro o pozo ciego,conexión regular,conexion regular,,100,ANDE,,si,mas de un año,,si,4,,tira y quema,,gas,,,,tierra,,regular,en algunas de las calles del barrio,,provistos por el estado,,en algunas de las calles del asentamiento,,no,,,,no,,"abrazo, techo",no,si,no,no,no,,no,18 personas,,eleccion mediante votacion,no,si,no,si,no,no,si,no,no,si,si,,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,mas de 50 cuadras(+5 km),,,,,,,,,,2,,1 / vivienda,trabajan juntos,,,no,,"POLYGON((-57.5742577996776 -25.3905082314472,-57.5743935829549 -25.390185904352,-57.5740856967529 -25.390077425787,-57.57382600487 -25.3907265716079,-57.5744309374067 -25.3909420977948,-57.5745580855184 -25.390620113306,-57.5742577996776 -25.3905082314472))","{""type"":""Polygon"",""coordinates"":[[[-57.5742577996776,-25.3905082314472],[-57.5743935829549,-25.390185904352],[-57.5740856967529,-25.390077425787],[-57.57382600487,-25.3907265716079],[-57.5744309374067,-25.3909420977948],[-57.5745580855184,-25.390620113306],[-57.5742577996776,-25.3905082314472]]]}"
41,366,1,1,villa claudia,villa elisa,migracion por factores economicos,,mediante una asociacion social,,2007,entre 5 y 10 años,2049,9,252,9,3,,si,privada,,si,si,si,no,propietario o particular,,mas de 2 años,si,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,finalizando,,si,los propios vecinos,ns/nr,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,letrina sanitaria conectado a pozo negro o pozo ciego,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,irregular,,si,,,no,,,tira y quema,,gas,,,,tierra,,malo,únicamente en la calle principal del barrio,,provistos por el estado,,únicamente en la calle principal,,no,,,,no,,programa de vivienda,no,no,no,no,no,,no,16,,votacion (reeleccion hace 3 años con abal municipal),no,si,no,si,no,no,no,no,no,si,si,,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),dentro del asentamiento,mas de 50 cuadras(+5 km),,,,,,,,,,1,,,unidad de la familia,,,no,,"POLYGON((-57.5747269595467 -25.3917577664942,-57.5749911370697 -25.3912046493452,-57.574425122734 -25.3909869608772,-57.5741810681778 -25.3915544726604,-57.5747269595467 -25.3917577664942))","{""type"":""Polygon"",""coordinates"":[[[-57.5747269595467,-25.3917577664942],[-57.5749911370697,-25.3912046493452],[-57.574425122734,-25.3909869608772],[-57.5741810681778,-25.3915544726604],[-57.5747269595467,-25.3917577664942]]]}"
42,365,136,1,territorio social san miguel,villa elisa,migracion por factores economicos,,ocupacion ilegal,,invalid,entre 5 y 10 años,20000,121,,121,35,,no,sas,,si,si,si,si,sas,,mas de 2 años,no,si,,,en proceso,no,,,finalizando,,si,los propios vecinos,mas de 1.000.000Gs,,para organización social,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,conexion regular,,100,ANDE,100,si,entre 6 meses y un año,,si,entre 6 meses y un año,,servicio de recolección pagado,,gas,,,,,,regular,en algunas de las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,"municipalidad (empedrado, desague), centro comunitario",no,si,no,no,no,,no,60,,votacion,no,no,no,no,no,si,no,no,no,si,no,,entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),,,,,,,,,,1,,"empedrado, desague","no hay drogadictos, son muy trabajodores",,,no,,"POLYGON((-57.5809461421491 -25.3481331178517,-57.5804322312617 -25.3484764086859,-57.5822018310458 -25.3506447811576,-57.583089216778 -25.3500229819076,-57.5813385358521 -25.347859111447,-57.5811337406361 -25.3480029938169,-57.5791982087267 -25.3455997641978,-57.5790129006946 -25.3457219368477,-57.5809461421491 -25.3481331178517))","{""type"":""Polygon"",""coordinates"":[[[-57.5809461421491,-25.3481331178517],[-57.5804322312617,-25.3484764086859],[-57.5822018310458,-25.3506447811576],[-57.583089216778,-25.3500229819076],[-57.5813385358521,-25.347859111447],[-57.5811337406361,-25.3480029938169],[-57.5791982087267,-25.3455997641978],[-57.5790129006946,-25.3457219368477],[-57.5809461421491,-25.3481331178517]]]}"
43,364,4,2,santa librada,villa elisa,desastre natural,,ocupacion de tierras cedidas por el estado,,1995,entre 2 y 3 años,6602,40,,40,6,,si,municipal,,si,en proceso,no,si,propietario o particular,,1 año,no,si,,,en proceso,no,,,finalizando,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,80,irregular,15,si,entre 3 y 6 meses,,no,,,,,electricidad,,asfalto,,,,regular,en algunas de las calles del barrio,,provistos por el estado,,en algunas de las calles del asentamiento,,si,"abrazo, comedor para los niños, insumos / alda (españa), ellos organizan toda la ayuda que llega vía abrazo y la caixa que trajo el programa de oficios",6,10,no,,un programa para sacar a los jovenes de las drogas. madres solteras. educación sexual para adolescentes,si,no,si,no,si,,no,10 a 15 personas,,"votacion viene de la municipalidad, anualmente hacen una asamblea",no,si,no,no,no,si,si,no,si,no,no,,entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),"el arroyo usan como basurero, está contaminado, la basura se acumula al borde del barranco",,,2,,,,,1,,"3 Madres jóvenes
educación sexual",,"los vecinos son trabajadores, se ayudan mucho entre ellos",,,no,,"POLYGON((-57.570410421733 -25.3815974041977,-57.5708591153433 -25.3825198876437,-57.5714471639046 -25.3826942631656,-57.571654210437 -25.3820083553396,-57.570410421733 -25.3815974041977))","{""type"":""Polygon"",""coordinates"":[[[-57.570410421733,-25.3815974041977],[-57.5708591153433,-25.3825198876437],[-57.5714471639046,-25.3826942631656],[-57.571654210437,-25.3820083553396],[-57.570410421733,-25.3815974041977]]]}"
44,363,23,6,san rafael,villa elisa,migracion por factores economicos,,ocupacion de tierras cedidas por el estado,,2008,entre 5 y 10 años,1266,12,90,12,8,,no,sas,,si,si,si,si,sas,,no hubo abandono,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,en tramite con la sas,,no,,,,,inodoro conectado a fosa septica,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,ANDE,100,si,mas de un año,,si,mas de un año,,tira y quema,,gas,,tierra,,tierra,,regular,no,,no,,,,no,,,,no,,ayuda con la vivienda,no,no,no,no,no,,si,,,,no,si,no,no,no,no,no,no,no,no,si,,entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),entre 31 y 50 cuadras (3-5 km),vivienda para las personas que mas necesitan,,,,,,,,,,,1/vivienda,todos se apoyan y luchan en equipo,,,no,,"POLYGON((-57.5858345454103 -25.3581114313244,-57.5855276763275 -25.3583856544774,-57.5858340992974 -25.3586438493044,-57.5861527139405 -25.3583573881659,-57.5858345454103 -25.3581114313244))","{""type"":""Polygon"",""coordinates"":[[[-57.5858345454103,-25.3581114313244],[-57.5855276763275,-25.3583856544774],[-57.5858340992974,-25.3586438493044],[-57.5861527139405,-25.3583573881659],[-57.5858345454103,-25.3581114313244]]]}"
45,362,17,5,san josé,villa elisa,migracion por factores economicos,,ocupacion ilegal,,1990,entre 5 y 10 años,9747,30,114,30,5,,si,sas,,si,en proceso,si,ns/nr,propietario o particular,,mas de 2 años,no,si,,zona de alto riesgo,,si,sas,,finalizando,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,,,municipal,100,ANDE,100,si,entre 1 y 3 meses,,si,4,,tira y quema,,gas,,,,tierra,,regular,en todas las calles del barrio,,provistos por el estado,,en algunas de las calles del asentamiento,,no,,,,no,,"fonavis, programa contra la desnutrición",si,no,no,no,no,,no,20,,votación,no,si,no,no,si,si,no,no,no,no,si,,a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,mas de 50 cuadras(+5 km),"necesidad de puente para cruzar el arroyo.
arroyo contaminado",,,1,2,5,4,,3,,6 Falta de unión entre vecinos,,"bien ubicado, gente tranquila, seguridad",,,no,,"POLYGON((-57.6021823788848 -25.37117102907,-57.6019489264782 -25.3708164324323,-57.6008454031335 -25.3714402057219,-57.6011031213645 -25.3717831650534,-57.6021823788848 -25.37117102907))","{""type"":""Polygon"",""coordinates"":[[[-57.6021823788848,-25.37117102907],[-57.6019489264782,-25.3708164324323],[-57.6008454031335,-25.3714402057219],[-57.6011031213645,-25.3717831650534],[-57.6021823788848,-25.37117102907]]]}"
46,361,13,4,san jorge,villa elisa,reubicacion,,ocupacion de tierras cedidas por el estado,,2007,entre 5 y 10 años,5000,12,170,22,11,,si,sas,,si,si,si,si,sas,,no hubo abandono,no,si,,,en proceso,si,municipalidad,,iniciando,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,,,municipal,100,ANDE,100,si,entre 1 y 3 meses,,si,entre 6 meses y un año,,entierra,,leña y carbón,,ripio,,tierra,,bueno,no,,,compró el presidente,en todas las calles del asentamiento,,si,omoct / sas,22,2005,si,sas,"senavitat, habitat, techo",si,no,no,no,no,,no,12,,asamblea,no,si,no,no,no,no,no,no,no,no,no,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),,,2,,,,,,3,1,,,"no hay drogadiccion o robos, reglas de la comisión vecinal sobre convivencia",,,no,,"POLYGON((-57.5992093335648 -25.372325062835,-57.5990267156039 -25.3719690463613,-57.5977522481785 -25.3723496408277,-57.5978889270558 -25.3727308951884,-57.5992093335648 -25.372325062835))","{""type"":""Polygon"",""coordinates"":[[[-57.5992093335648,-25.372325062835],[-57.5990267156039,-25.3719690463613],[-57.5977522481785,-25.3723496408277],[-57.5978889270558,-25.3727308951884],[-57.5992093335648,-25.372325062835]]]}"
47,360,97,6,san francisco,villa elisa,migracion por factores economicos,,mediante una asociacion social,,2006,entre 2 y 3 años,,21,192,21,6,,no,privada,,si,si,si,si,municipalidad,,mas de 2 años,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,iniciando,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,irregular,100,no,,,no,,,servicio de recolección pagado,,gas,,tierra,,tierra,,regular,en algunas de las calles del barrio,,hechos por los vecinos,hechos por los vecinos,,,si,senavitat,18,5 años,si,senavitat,sembrando oportunidades,no,si,no,no,no,,no,,,la presidneta no quiere ceder su puesto,si,no,no,no,no,si,si,no,no,si,si,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),tiene problemas con aguas servidas con algunos vecinos. si llueve tienen mas problemas para movilizarse pero en observaciones generales se manejan bien,,,,,,,,,1,2 Falta de unión entre vecinos,,,,,no,,"POLYGON((-57.583171742244 -25.3593726695491,-57.5838381642592 -25.3598875458642,-57.5841685723777 -25.3595732050801,-57.5835211180735 -25.3590670826783,-57.583171742244 -25.3593726695491))","{""type"":""Polygon"",""coordinates"":[[[-57.583171742244,-25.3593726695491],[-57.5838381642592,-25.3598875458642],[-57.5841685723777,-25.3595732050801],[-57.5835211180735,-25.3590670826783],[-57.583171742244,-25.3593726695491]]]}"
48,359,651,,san antonio,villa elisa,migracion por factores economicos,,ocupacion ilegal,,1993,menos de 1 año,50000,203,,220,0,,si,sas,,si,no,no,si,comision vecinal,,de 3 a 6 meses,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,si,,consejo de organización,en tramite con la sas,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a alcantarillado,,,,tanque comunal,100,ANDE,90,si,entre 6 meses y un año,,si,entre 6 meses y un año,,servicio de recolección pagado,,gas,,ripio,,asfalto,,bueno,no,,provistos por el estado,,en algunas de las calles del asentamiento,,no,,,,si,donación taiwán,tepokora,si,no,no,no,no,,no,200,,"votación, asamblea, reconocida por la municipalidad",no,no,no,si,no,no,no,no,no,no,si,,entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),contaminación - basurero,,,,,,,,,,,1 legalización de terreno,"solidaridad, colaboración permanente",,,no,,"POLYGON((-57.5876257496683 -25.355442679755,-57.5865127818222 -25.3559173128689,-57.5853091914211 -25.356758302625,-57.5862560648743 -25.3574616709126,-57.5877939925265 -25.356306187286,-57.5876257496683 -25.355442679755))","{""type"":""Polygon"",""coordinates"":[[[-57.5876257496683,-25.355442679755],[-57.5865127818222,-25.3559173128689],[-57.5853091914211,-25.356758302625],[-57.5862560648743,-25.3574616709126],[-57.5877939925265,-25.356306187286],[-57.5876257496683,-25.355442679755]]]}"
